evaluation,method,phase,n_estimators,max_depth,min_samples_split,max_features,cv_mean,cv_std,eval_seconds,fold_scores,fold_fingerprint,best_so_far
1,Random Search,random,72,16,14,0.9010185439379677,0.9472527472527472,0.022413272587221034,2.738351200008765,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.9340659340659341, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9472527472527472
2,Random Search,random,160,3,15,0.36592414352135466,0.9494505494505494,0.011206636293610526,3.784622399994987,"[0.945054945054945, 0.9560439560439561, 0.9340659340659341, 0.945054945054945, 0.967032967032967]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9494505494505494
3,Random Search,random,182,20,15,0.8502450136938675,0.9494505494505494,0.021533975760731242,5.20175670000026,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9494505494505494
4,Random Search,random,241,11,4,0.615270156526897,0.9626373626373628,0.01490621974313247,5.607184899999993,"[0.967032967032967, 0.9560439560439561, 0.945054945054945, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
5,Random Search,random,175,9,5,0.7507055840564651,0.956043956043956,0.01838813245129838,2.9261648999963654,"[0.9560439560439561, 0.945054945054945, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
6,Random Search,random,282,9,17,0.6103899391791318,0.9494505494505494,0.014906219743132446,4.889602399998694,"[0.945054945054945, 0.945054945054945, 0.9340659340659341, 0.945054945054945, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
7,Random Search,random,163,6,3,0.3446720792729227,0.9582417582417582,0.018906209378115674,2.1201200999930734,"[0.967032967032967, 0.945054945054945, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
8,Random Search,random,189,18,17,0.7421650793854453,0.9472527472527472,0.017582417582417558,3.2003706999967108,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.945054945054945, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
9,Random Search,random,91,16,15,0.9794886170764323,0.9472527472527472,0.022413272587221034,1.7250880999927176,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.9340659340659341, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
10,Random Search,random,138,10,18,0.8448684479516333,0.9472527472527472,0.022413272587221034,2.152195499991649,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.9340659340659341, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
11,Random Search,random,240,5,8,0.3306626360510601,0.9538461538461538,0.014578570507056694,2.412183799999184,"[0.9560439560439561, 0.945054945054945, 0.9340659340659341, 0.9560439560439561, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
12,Random Search,random,167,12,4,0.7781342672697182,0.9538461538461538,0.021308482889742106,2.6061523999960627,"[0.945054945054945, 0.9560439560439561, 0.9230769230769231, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
13,Random Search,random,281,16,8,0.5280777506967064,0.9604395604395606,0.01785502946073838,3.633391199997277,"[0.967032967032967, 0.9560439560439561, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
14,Random Search,random,292,19,9,0.6286890678930654,0.9582417582417582,0.018906209378115674,4.5415038999926765,"[0.967032967032967, 0.945054945054945, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
15,Random Search,random,249,5,10,0.6329934483581536,0.956043956043956,0.01838813245129838,3.814567599998554,"[0.9560439560439561, 0.945054945054945, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
16,Random Search,random,82,8,6,0.7688697962777572,0.956043956043956,0.01838813245129838,1.6439166999916779,"[0.945054945054945, 0.9560439560439561, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
17,Random Search,random,286,10,5,0.7901855714015744,0.9538461538461538,0.021308482889742106,4.815111600008095,"[0.945054945054945, 0.9560439560439561, 0.9230769230769231, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
18,Random Search,random,259,3,7,0.8825818609766407,0.9494505494505494,0.021533975760731242,3.842286699989927,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
19,Random Search,random,159,17,17,0.5018296727511709,0.945054945054945,0.018388132451298337,1.948450399999274,"[0.945054945054945, 0.9340659340659341, 0.9230769230769231, 0.945054945054945, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
20,Random Search,random,147,6,14,0.39782673852651684,0.956043956043956,0.01702410262069197,1.5760382000007667,"[0.945054945054945, 0.9560439560439561, 0.945054945054945, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9626373626373628
1,Bayesian Optimization,initialization,152,16,12,0.8457837001909385,0.9516483516483516,0.02153397576073124,2.513299199999892,"[0.9560439560439561, 0.945054945054945, 0.9230769230769231, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9516483516483516
2,Bayesian Optimization,initialization,70,8,20,0.36998244107260203,0.9538461538461538,0.01890620937811568,0.87202029999753,"[0.945054945054945, 0.9560439560439561, 0.9340659340659341, 0.945054945054945, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9538461538461538
3,Bayesian Optimization,initialization,252,5,9,0.7956508044572318,0.956043956043956,0.01838813245129838,6.535932600003434,"[0.945054945054945, 0.9560439560439561, 0.9340659340659341, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.956043956043956
4,Bayesian Optimization,initialization,199,3,13,0.9569868963110251,0.9472527472527472,0.022413272587221034,4.846344499994302,"[0.945054945054945, 0.945054945054945, 0.9230769230769231, 0.9340659340659341, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.956043956043956
5,Bayesian Optimization,initialization,179,2,13,0.7281572123417965,0.9406593406593406,0.02467026848422377,3.0764958999934606,"[0.945054945054945, 0.9340659340659341, 0.9010989010989011, 0.945054945054945, 0.978021978021978]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.956043956043956
6,Bayesian Optimization,EI,50,6,20,0.46950920666031903,0.9494505494505494,0.011206636293610526,1.226163599989377,"[0.945054945054945, 0.9560439560439561, 0.9340659340659341, 0.945054945054945, 0.967032967032967]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.956043956043956
7,Bayesian Optimization,EI,157,14,4,0.5956340851657893,0.9582417582417584,0.021308482889742096,5.067034300009254,"[0.967032967032967, 0.9560439560439561, 0.9230769230769231, 0.9560439560439561, 0.989010989010989]",cd04dd46fdf6c8659ed8528b4513c7186393fec01db6d605d8bf0015efa2846d,0.9582417582417584
